seq,ts_unix_ms,event_type,payload
3148,1785000269395,RISK_DECISION,"{""symbol"": ""EURUSD"", ""direction"": ""BUY"", ""approved"": false, ""rejected_by"": ""position_count_check"", ""reason"": ""max open positions reached"", ""checks"": [{""name"": ""daily_loss_check"", ""passed"": true, ""reason"": """"}, {""name"": ""position_count_check"", ""passed"": false, ""reason"": ""max open positions reached""}]}"
3149,1785000269423,RISK_DECISION,"{""symbol"": ""EURUSD"", ""direction"": ""BUY"", ""approved"": false, ""rejected_by"": ""position_count_check"", ""reason"": ""max open positions reached"", ""checks"": [{""name"": ""daily_loss_check"", ""passed"": true, ""reason"": """"}, {""name"": ""position_count_check"", ""passed"": false, ""reason"": ""max open positions reached""}]}"
3150,1785000269450,RISK_DECISION,"{""symbol"": ""EURUSD"", ""direction"": ""BUY"", ""approved"": false, ""rejected_by"": ""position_count_check"", ""reason"": ""max open positions reached"", ""checks"": [{""name"": ""daily_loss_check"", ""passed"": true, ""reason"": """"}, {""name"": ""position_count_check"", ""passed"": false, ""reason"": ""max open positions reached""}]}"
3151,1785000269477,RISK_DECISION,"{""symbol"": ""EURUSD"", ""direction"": ""BUY"", ""approved"": false, ""rejected_by"": ""position_count_check"", ""reason"": ""max open positions reached"", ""checks"": [{""name"": ""daily_loss_check"", ""passed"": true, ""reason"": """"}, {""name"": ""position_count_check"", ""passed"": false, ""reason"": ""max open positions reached""}]}"
3152,1785000269505,RISK_DECISION,"{""symbol"": ""EURUSD"", ""direction"": ""BUY"", ""approved"": false, ""rejected_by"": ""position_count_check"", ""reason"": ""max open positions reached"", ""checks"": [{""name"": ""daily_loss_check"", ""passed"": true, ""reason"": """"}, {""name"": ""position_count_check"", ""passed"": false, ""reason"": ""max open positions reached""}]}"
3153,1785000269548,RISK_DECISION,"{""symbol"": ""EURUSD"", ""direction"": ""BUY"", ""approved"": false, ""rejected_by"": ""position_count_check"", ""reason"": ""max open positions reached"", ""checks"": [{""name"": ""daily_loss_check"", ""passed"": true, ""reason"": """"}, {""name"": ""position_count_check"", ""passed"": false, ""reason"": ""max open positions reached""}]}"
3154,1785000269600,RISK_DECISION,"{""symbol"": ""EURUSD"", ""direction"": ""BUY"", ""approved"": false, ""rejected_by"": ""position_count_check"", ""reason"": ""max open positions reached"", ""checks"": [{""name"": ""daily_loss_check"", ""passed"": true, ""reason"": """"}, {""name"": ""position_count_check"", ""passed"": false, ""reason"": ""max open positions reached""}]}"
3155,1785000269668,RISK_DECISION,"{""symbol"": ""EURUSD"", ""direction"": ""BUY"", ""approved"": false, ""rejected_by"": ""position_count_check"", ""reason"": ""max open positions reached"", ""checks"": [{""name"": ""daily_loss_check"", ""passed"": true, ""reason"": """"}, {""name"": ""position_count_check"", ""passed"": false, ""reason"": ""max open positions reached""}]}"
3156,1785000269838,RISK_DECISION,"{""symbol"": ""EURUSD"", ""direction"": ""BUY"", ""approved"": false, ""rejected_by"": ""position_count_check"", ""reason"": ""max open positions reached"", ""checks"": [{""name"": ""daily_loss_check"", ""passed"": true, ""reason"": """"}, {""name"": ""position_count_check"", ""passed"": false, ""reason"": ""max open positions reached""}]}"
3157,1785000269982,RISK_DECISION,"{""symbol"": ""EURUSD"", ""direction"": ""BUY"", ""approved"": false, ""rejected_by"": ""position_count_check"", ""reason"": ""max open positions reached"", ""checks"": [{""name"": ""daily_loss_check"", ""passed"": true, ""reason"": """"}, {""name"": ""position_count_check"", ""passed"": false, ""reason"": ""max open positions reached""}]}"
3158,1785000270104,RISK_DECISION,"{""symbol"": ""EURUSD"", ""direction"": ""SELL"", ""approved"": false, ""rejected_by"": ""position_count_check"", ""reason"": ""max open positions reached"", ""checks"": [{""name"": ""daily_loss_check"", ""passed"": true, ""reason"": """"}, {""name"": ""position_count_check"", ""passed"": false, ""reason"": ""max open positions reached""}]}"
3159,1785000270179,RISK_DECISION,"{""symbol"": ""EURUSD"", ""direction"": ""SELL"", ""approved"": false, ""rejected_by"": ""position_count_check"", ""reason"": ""max open positions reached"", ""checks"": [{""name"": ""daily_loss_check"", ""passed"": true, ""reason"": """"}, {""name"": ""position_count_check"", ""passed"": false, ""reason"": ""max open positions reached""}]}"
3160,1785000270242,RISK_DECISION,"{""symbol"": ""EURUSD"", ""direction"": ""SELL"", ""approved"": false, ""rejected_by"": ""position_count_check"", ""reason"": ""max open positions reached"", ""checks"": [{""name"": ""daily_loss_check"", ""passed"": true, ""reason"": """"}, {""name"": ""position_count_check"", ""passed"": false, ""reason"": ""max open positions reached""}]}"
3161,1785000270329,RISK_DECISION,"{""symbol"": ""EURUSD"", ""direction"": ""SELL"", ""approved"": false, ""rejected_by"": ""position_count_check"", ""reason"": ""max open positions reached"", ""checks"": [{""name"": ""daily_loss_check"", ""passed"": true, ""reason"": """"}, {""name"": ""position_count_check"", ""passed"": false, ""reason"": ""max open positions reached""}]}"
3162,1785000270388,RISK_DECISION,"{""symbol"": ""EURUSD"", ""direction"": ""SELL"", ""approved"": false, ""rejected_by"": ""position_count_check"", ""reason"": ""max open positions reached"", ""checks"": [{""name"": ""daily_loss_check"", ""passed"": true, ""reason"": """"}, {""name"": ""position_count_check"", ""passed"": false, ""reason"": ""max open positions reached""}]}"
3163,1785000270448,RISK_DECISION,"{""symbol"": ""EURUSD"", ""direction"": ""SELL"", ""approved"": false, ""rejected_by"": ""position_count_check"", ""reason"": ""max open positions reached"", ""checks"": [{""name"": ""daily_loss_check"", ""passed"": true, ""reason"": """"}, {""name"": ""position_count_check"", ""passed"": false, ""reason"": ""max open positions reached""}]}"
3164,1785000270495,RISK_DECISION,"{""symbol"": ""EURUSD"", ""direction"": ""SELL"", ""approved"": false, ""rejected_by"": ""position_count_check"", ""reason"": ""max open positions reached"", ""checks"": [{""name"": ""daily_loss_check"", ""passed"": true, ""reason"": """"}, {""name"": ""position_count_check"", ""passed"": false, ""reason"": ""max open positions reached""}]}"
3165,1785000270537,RISK_DECISION,"{""symbol"": ""EURUSD"", ""direction"": ""SELL"", ""approved"": false, ""rejected_by"": ""position_count_check"", ""reason"": ""max open positions reached"", ""checks"": [{""name"": ""daily_loss_check"", ""passed"": true, ""reason"": """"}, {""name"": ""position_count_check"", ""passed"": false, ""reason"": ""max open positions reached""}]}"
3166,1785000270587,RISK_DECISION,"{""symbol"": ""EURUSD"", ""direction"": ""SELL"", ""approved"": false, ""rejected_by"": ""position_count_check"", ""reason"": ""max open positions reached"", ""checks"": [{""name"": ""daily_loss_check"", ""passed"": true, ""reason"": """"}, {""name"": ""position_count_check"", ""passed"": false, ""reason"": ""max open positions reached""}]}"
3167,1785000270634,RISK_DECISION,"{""symbol"": ""EURUSD"", ""direction"": ""SELL"", ""approved"": false, ""rejected_by"": ""position_count_check"", ""reason"": ""max open positions reached"", ""checks"": [{""name"": ""daily_loss_check"", ""passed"": true, ""reason"": """"}, {""name"": ""position_count_check"", ""passed"": false, ""reason"": ""max open positions reached""}]}"
3168,1785000270681,RISK_DECISION,"{""symbol"": ""EURUSD"", ""direction"": ""SELL"", ""approved"": false, ""rejected_by"": ""position_count_check"", ""reason"": ""max open positions reached"", ""checks"": [{""name"": ""daily_loss_check"", ""passed"": true, ""reason"": """"}, {""name"": ""position_count_check"", ""passed"": false, ""reason"": ""max open positions reached""}]}"
3169,1785000270717,RISK_DECISION,"{""symbol"": ""EURUSD"", ""direction"": ""SELL"", ""approved"": false, ""rejected_by"": ""position_count_check"", ""reason"": ""max open positions reached"", ""checks"": [{""name"": ""daily_loss_check"", ""passed"": true, ""reason"": """"}, {""name"": ""position_count_check"", ""passed"": false, ""reason"": ""max open positions reached""}]}"
3170,1785000270755,RISK_DECISION,"{""symbol"": ""EURUSD"", ""direction"": ""SELL"", ""approved"": false, ""rejected_by"": ""position_count_check"", ""reason"": ""max open positions reached"", ""checks"": [{""name"": ""daily_loss_check"", ""passed"": true, ""reason"": """"}, {""name"": ""position_count_check"", ""passed"": false, ""reason"": ""max open positions reached""}]}"
3171,1785000270799,RISK_DECISION,"{""symbol"": ""EURUSD"", ""direction"": ""SELL"", ""approved"": false, ""rejected_by"": ""position_count_check"", ""reason"": ""max open positions reached"", ""checks"": [{""name"": ""daily_loss_check"", ""passed"": true, ""reason"": """"}, {""name"": ""position_count_check"", ""passed"": false, ""reason"": ""max open positions reached""}]}"
3172,1785000270846,RISK_DECISION,"{""symbol"": ""EURUSD"", ""direction"": ""SELL"", ""approved"": false, ""rejected_by"": ""position_count_check"", ""reason"": ""max open positions reached"", ""checks"": [{""name"": ""daily_loss_check"", ""passed"": true, ""reason"": """"}, {""name"": ""position_count_check"", ""passed"": false, ""reason"": ""max open positions reached""}]}"
3173,1785000270897,RISK_DECISION,"{""symbol"": ""EURUSD"", ""direction"": ""SELL"", ""approved"": false, ""rejected_by"": ""position_count_check"", ""reason"": ""max open positions reached"", ""checks"": [{""name"": ""daily_loss_check"", ""passed"": true, ""reason"": """"}, {""name"": ""position_count_check"", ""passed"": false, ""reason"": ""max open positions reached""}]}"
3174,1785000270944,RISK_DECISION,"{""symbol"": ""EURUSD"", ""direction"": ""SELL"", ""approved"": false, ""rejected_by"": ""position_count_check"", ""reason"": ""max open positions reached"", ""checks"": [{""name"": ""daily_loss_check"", ""passed"": true, ""reason"": """"}, {""name"": ""position_count_check"", ""passed"": false, ""reason"": ""max open positions reached""}]}"
3175,1785000270979,RISK_DECISION,"{""symbol"": ""EURUSD"", ""direction"": ""SELL"", ""approved"": false, ""rejected_by"": ""position_count_check"", ""reason"": ""max open positions reached"", ""checks"": [{""name"": ""daily_loss_check"", ""passed"": true, ""reason"": """"}, {""name"": ""position_count_check"", ""passed"": false, ""reason"": ""max open positions reached""}]}"
3176,1785000271013,RISK_DECISION,"{""symbol"": ""EURUSD"", ""direction"": ""SELL"", ""approved"": false, ""rejected_by"": ""position_count_check"", ""reason"": ""max open positions reached"", ""checks"": [{""name"": ""daily_loss_check"", ""passed"": true, ""reason"": """"}, {""name"": ""position_count_check"", ""passed"": false, ""reason"": ""max open positions reached""}]}"
3177,1785000271045,RISK_DECISION,"{""symbol"": ""EURUSD"", ""direction"": ""SELL"", ""approved"": false, ""rejected_by"": ""position_count_check"", ""reason"": ""max open positions reached"", ""checks"": [{""name"": ""daily_loss_check"", ""passed"": true, ""reason"": """"}, {""name"": ""position_count_check"", ""passed"": false, ""reason"": ""max open positions reached""}]}"
3178,1785000271079,RISK_DECISION,"{""symbol"": ""EURUSD"", ""direction"": ""SELL"", ""approved"": false, ""rejected_by"": ""position_count_check"", ""reason"": ""max open positions reached"", ""checks"": [{""name"": ""daily_loss_check"", ""passed"": true, ""reason"": """"}, {""name"": ""position_count_check"", ""passed"": false, ""reason"": ""max open positions reached""}]}"
3179,1785000271110,RISK_DECISION,"{""symbol"": ""EURUSD"", ""direction"": ""SELL"", ""approved"": false, ""rejected_by"": ""position_count_check"", ""reason"": ""max open positions reached"", ""checks"": [{""name"": ""daily_loss_check"", ""passed"": true, ""reason"": """"}, {""name"": ""position_count_check"", ""passed"": false, ""reason"": ""max open positions reached""}]}"
3180,1785000271140,RISK_DECISION,"{""symbol"": ""EURUSD"", ""direction"": ""SELL"", ""approved"": false, ""rejected_by"": ""position_count_check"", ""reason"": ""max open positions reached"", ""checks"": [{""name"": ""daily_loss_check"", ""passed"": true, ""reason"": """"}, {""name"": ""position_count_check"", ""passed"": false, ""reason"": ""max open positions reached""}]}"
3181,1785000271176,RISK_DECISION,"{""symbol"": ""EURUSD"", ""direction"": ""SELL"", ""approved"": false, ""rejected_by"": ""position_count_check"", ""reason"": ""max open positions reached"", ""checks"": [{""name"": ""daily_loss_check"", ""passed"": true, ""reason"": """"}, {""name"": ""position_count_check"", ""passed"": false, ""reason"": ""max open positions reached""}]}"
3182,1785000271243,RISK_DECISION,"{""symbol"": ""EURUSD"", ""direction"": ""SELL"", ""approved"": false, ""rejected_by"": ""position_count_check"", ""reason"": ""max open positions reached"", ""checks"": [{""name"": ""daily_loss_check"", ""passed"": true, ""reason"": """"}, {""name"": ""position_count_check"", ""passed"": false, ""reason"": ""max open positions reached""}]}"
3183,1785000271311,RISK_DECISION,"{""symbol"": ""EURUSD"", ""direction"": ""SELL"", ""approved"": false, ""rejected_by"": ""position_count_check"", ""reason"": ""max open positions reached"", ""checks"": [{""name"": ""daily_loss_check"", ""passed"": true, ""reason"": """"}, {""name"": ""position_count_check"", ""passed"": false, ""reason"": ""max open positions reached""}]}"
