ts_unix_ms,open,high,low,close,volume
1704078900000,1.1073,1.10788,1.10702,1.10758,139
1704079200000,1.10758,1.1081,1.10731,1.10781,140
1704079500000,1.10781,1.10827,1.10756,1.10799,141
1704079800000,1.10799,1.10837,1.10776,1.10812,142
1704080100000,1.10812,1.10841,1.1079,1.10819,143
1704080400000,1.10819,1.10838,1.108,1.10821,144
1704080700000,1.10821,1.10833,1.108,1.10817,145
1704081000000,1.10817,1.10824,1.10793,1.10808,146
1704081300000,1.10808,1.10809,1.10783,1.10795,147
1704081600000,1.10795,1.10801,1.10769,1.10779,148
1704081900000,1.10779,1.1079,1.10752,1.10759,149
1704082200000,1.10759,1.10776,1.10733,1.10738,100
1704082500000,1.10738,1.10759,1.10714,1.10716,101
1704082800000,1.10716,1.10741,1.10694,1.10694,102
1704083100000,1.10694,1.10722,1.1067,1.10673,103
1704083400000,1.10673,1.10703,1.10649,1.10654,104
1704083700000,1.10654,1.10684,1.10629,1.10638,105
1704084000000,1.10638,1.10667,1.10613,1.10624,106
1704084300000,1.10624,1.10652,1.106,1.10614,107
1704084600000,1.10614,1.10639,1.10591,1.10607,108
1704084900000,1.10607,1.10628,1.10585,1.10603,109
1704085200000,1.10603,1.10619,1.10582,1.10602,110
1704085500000,1.10602,1.10614,1.1058,1.10604,111
1704085800000,1.10604,1.10612,1.1058,1.10607,112
1704086100000,1.10607,1.10612,1.10581,1.10611,113
1704086400000,1.10611,1.10622,1.10584,1.10615,114
1704086700000,1.10615,1.10631,1.10587,1.10619,115
1704087000000,1.10619,1.10639,1.1059,1.10621,116
1704087300000,1.10621,1.10643,1.10591,1.1062,117
1704087600000,1.1062,1.10646,1.10587,1.10617,118
1704087900000,1.10617,1.10645,1.10579,1.10609,119
1704088200000,1.10609,1.10639,1.10568,1.10598,120
1704088500000,1.10598,1.10628,1.10552,1.10582,121
1704088800000,1.10582,1.10611,1.10532,1.10561,122
1704089100000,1.10561,1.10588,1.10509,1.10537,123
1704089400000,1.10537,1.1056,1.10481,1.10508,124
1704089700000,1.10508,1.10528,1.10451,1.10477,125
1704090000000,1.10477,1.10491,1.10419,1.10443,126
1704090300000,1.10443,1.10452,1.10385,1.10407,127
1704090600000,1.10407,1.10411,1.1035,1.10371,128
1704090900000,1.10371,1.10374,1.10317,1.10335,129
1704091200000,1.10335,1.10344,1.10285,1.10301,130
1704091500000,1.10301,1.10315,1.10255,1.1027,131
1704091800000,1.1027,1.10289,1.1023,1.10241,132
1704092100000,1.10241,1.10265,1.10208,1.10217,133
1704092400000,1.10217,1.10244,1.10191,1.10198,134
1704092700000,1.10198,1.10227,1.1018,1.10183,135
1704093000000,1.10183,1.10213,1.10174,1.10175,136
1704093300000,1.10175,1.10204,1.1017,1.10171,137
1704093600000,1.10171,1.10202,1.10167,1.10173,138
1704093900000,1.10173,1.10206,1.10166,1.1018,139
1704094200000,1.1018,1.10213,1.1017,1.1019,140
1704094500000,1.1019,1.10223,1.10178,1.10205,141
1704094800000,1.10205,1.10234,1.1019,1.10221,142
1704095100000,1.10221,1.10247,1.10204,1.1024,143
1704095400000,1.1024,1.1026,1.10221,1.10259,144
1704095700000,1.10259,1.10282,1.10238,1.10278,145
1704096000000,1.10278,1.10306,1.10255,1.10296,146
1704096300000,1.10296,1.10327,1.10271,1.10312,147
1704096600000,1.10312,1.10346,1.10286,1.10325,148
1704096900000,1.10325,1.1036,1.10298,1.10336,149
1704097200000,1.10336,1.10371,1.10308,1.10344,100
1704097500000,1.10344,1.10377,1.10314,1.10348,101
1704097800000,1.10348,1.10379,1.10318,1.10349,102
1704098100000,1.10349,1.10379,1.10318,1.10348,103
1704098400000,1.10348,1.10376,1.10315,1.10345,104
1704098700000,1.10345,1.1037,1.1031,1.1034,105
1704099000000,1.1034,1.10361,1.10305,1.10335,106
1704099300000,1.10335,1.10351,1.10301,1.1033,107
1704099600000,1.1033,1.10341,1.10298,1.10326,108
1704099900000,1.10326,1.10331,1.10297,1.10324,109
1704100200000,1.10324,1.10325,1.10298,1.10325,110
1704100500000,1.10325,1.10335,1.10301,1.10329,111
1704100800000,1.10329,1.1035,1.10307,1.10338,112
1704101100000,1.10338,1.10368,1.10318,1.10351,113
1704101400000,1.10351,1.1039,1.10333,1.10369,114
1704101700000,1.10369,1.10417,1.10353,1.10391,115
1704102000000,1.10391,1.10446,1.10378,1.10418,116
1704102300000,1.10418,1.10479,1.10408,1.1045,117
1704102600000,1.1045,1.10514,1.10442,1.10484,118
1704102900000,1.10484,1.10551,1.10479,1.10522,119
1704103200000,1.10522,1.10588,1.10519,1.10561,120
1704103500000,1.10561,1.10625,1.10561,1.10601,121
1704103800000,1.10601,1.10661,1.10598,1.10641,122
1704104100000,1.10641,1.10694,1.10635,1.10679,123
1704104400000,1.10679,1.10725,1.10671,1.10715,124
1704104700000,1.10715,1.10752,1.10704,1.10748,125
1704105000000,1.10748,1.10779,1.10735,1.10777,126
1704105300000,1.10777,1.10809,1.10761,1.10801,127
1704105600000,1.10801,1.10834,1.10783,1.10821,128
1704105900000,1.10821,1.10853,1.10801,1.10835,129
1704106200000,1.10835,1.10867,1.10813,1.10844,130
1704106500000,1.10844,1.10874,1.1082,1.10848,131
1704106800000,1.10848,1.10877,1.10822,1.10847,132
1704107100000,1.10847,1.10877,1.10816,1.10843,133
1704107400000,1.10843,1.10873,1.10807,1.10835,134
1704107700000,1.10835,1.10864,1.10796,1.10825,135
1704108000000,1.10825,1.10851,1.10784,1.10813,136
1704108300000,1.10813,1.10836,1.10771,1.10801,137
1704108600000,1.10801,1.1082,1.10759,1.10789,138
1704108900000,1.10789,1.10803,1.10748,1.10778,139
1704109200000,1.10778,1.10787,1.1074,1.1077,140
1704109500000,1.1077,1.10772,1.10734,1.10763,141
1704109800000,1.10763,1.10767,1.10731,1.10759,142
1704110100000,1.10759,1.10769,1.10731,1.10759,143
1704110400000,1.10759,1.10776,1.10733,1.10761,144
1704110700000,1.10761,1.10786,1.10737,1.10766,145
1704111000000,1.10766,1.10798,1.10743,1.10774,146
1704111300000,1.10774,1.1081,1.10753,1.10783,147
1704111600000,1.10783,1.10822,1.10764,1.10793,148
1704111900000,1.10793,1.10834,1.10776,1.10804,149
1704112200000,1.10804,1.10843,1.10789,1.10814,100
1704112500000,1.10814,1.1085,1.10802,1.10822,101
1704112800000,1.10822,1.10853,1.10813,1.10828,102
1704113100000,1.10828,1.10852,1.10821,1.1083,103
1704113400000,1.1083,1.10848,1.10825,1.10829,104
1704113700000,1.10829,1.10841,1.10821,1.10822,105
1704114000000,1.10822,1.10829,1.1081,1.10811,106
1704114300000,1.10811,1.10812,1.10791,1.10795,107
1704114600000,1.10795,1.108,1.10767,1.10773,108
1704114900000,1.10773,1.10785,1.10738,1.10747,109
1704115200000,1.10747,1.10763,1.10704,1.10716,110
1704115500000,1.10716,1.10737,1.10667,1.10681,111
1704115800000,1.10681,1.10706,1.10626,1.10643,112
1704116100000,1.10643,1.10671,1.10584,1.10603,113
1704116400000,1.10603,1.10633,1.10541,1.10562,114
1704116700000,1.10562,1.10592,1.10498,1.10521,115
1704117000000,1.10521,1.1055,1.10456,1.1048,116
1704117300000,1.1048,1.10508,1.10416,1.10442,117
1704117600000,1.10442,1.10466,1.10379,1.10406,118
1704117900000,1.10406,1.10427,1.10346,1.10374,119
1704118200000,1.10374,1.1039,1.10317,1.10346,120
1704118500000,1.10346,1.10356,1.10293,1.10322,121
1704118800000,1.10322,1.10327,1.10274,1.10304,122
1704119100000,1.10304,1.10305,1.1026,1.1029,123
1704119400000,1.1029,1.10297,1.10251,1.10281,124
1704119700000,1.10281,1.10294,1.10246,1.10276,125
1704120000000,1.10276,1.10294,1.10245,1.10274,126
1704120300000,1.10274,1.10297,1.10246,1.10275,127
1704120600000,1.10275,1.10304,1.10248,1.10278,128
1704120900000,1.10278,1.10311,1.10253,1.10282,129
1704121200000,1.10282,1.10316,1.10258,1.10287,130
1704121500000,1.10287,1.1032,1.10265,1.1029,131
1704121800000,1.1029,1.10321,1.1027,1.10292,132
1704122100000,1.10292,1.10319,1.10274,1.10293,133
1704122400000,1.10293,1.10316,1.10274,1.1029,134
1704122700000,1.1029,1.10309,1.10271,1.10284,135
1704123000000,1.10284,1.10299,1.10265,1.10276,136
1704123300000,1.10276,1.10284,1.10256,1.10264,137
1704123600000,1.10264,1.10267,1.10244,1.10249,138
1704123900000,1.10249,1.10252,1.10229,1.10232,139
1704124200000,1.10232,1.10241,1.10213,1.10214,140
1704124500000,1.10214,1.10228,1.10191,1.10194,141
1704124800000,1.10194,1.10213,1.10169,1.10174,142
1704125100000,1.10174,1.10198,1.10148,1.10155,143
1704125400000,1.10155,1.10182,1.10128,1.10138,144
1704125700000,1.10138,1.10167,1.10111,1.10124,145
1704126000000,1.10124,1.10154,1.10098,1.10113,146
1704126300000,1.10113,1.10143,1.10089,1.10107,147
1704126600000,1.10107,1.10135,1.10086,1.10106,148
1704126900000,1.10106,1.10135,1.10084,1.10109,149
1704127200000,1.10109,1.10141,1.10086,1.10118,100
1704127500000,1.10118,1.10151,1.10093,1.10133,101
1704127800000,1.10133,1.10166,1.10107,1.10153,102
1704128100000,1.10153,1.10185,1.10125,1.10177,103
1704128400000,1.10177,1.10207,1.10149,1.10206,104
1704128700000,1.10206,1.10243,1.10177,1.10238,105
1704129000000,1.10238,1.10283,1.10208,1.10273,106
1704129300000,1.10273,1.10324,1.10243,1.10308,107
1704129600000,1.10308,1.10365,1.10278,1.10345,108
1704129900000,1.10345,1.10405,1.10315,1.1038,109
1704130200000,1.1038,1.10442,1.10351,1.10414,110
1704130500000,1.10414,1.10475,1.10386,1.10446,111
1704130800000,1.10446,1.10504,1.10418,1.10474,112
1704131100000,1.10474,1.10528,1.10448,1.10498,113
1704131400000,1.10498,1.10546,1.10473,1.10518,114
1704131700000,1.10518,1.10559,1.10495,1.10534,115
1704132000000,1.10534,1.10567,1.10513,1.10546,116
1704132300000,1.10546,1.1057,1.10527,1.10553,117
1704132600000,1.10553,1.10568,1.10536,1.10557,118
1704132900000,1.10557,1.10563,1.10542,1.10558,119
1704133200000,1.10558,1.10558,1.10544,1.10556,120
1704133500000,1.10556,1.10563,1.10543,1.10553,121
1704133800000,1.10553,1.10565,1.10542,1.10549,122
1704134100000,1.10549,1.10567,1.10541,1.10546,123
1704134400000,1.10546,1.10568,1.10542,1.10544,124
1704134700000,1.10544,1.10569,1.10542,1.10543,125
1704135000000,1.10543,1.10573,1.10539,1.10545,126
1704135300000,1.10545,1.1058,1.10539,1.1055,127
1704135600000,1.1055,1.10588,1.10541,1.10558,128
1704135900000,1.10558,1.10599,1.10547,1.1057,129
1704136200000,1.1057,1.10612,1.10556,1.10585,130
1704136500000,1.10585,1.10627,1.10569,1.10603,131
1704136800000,1.10603,1.10643,1.10584,1.10623,132
1704137100000,1.10623,1.1066,1.10602,1.10645,133
1704137400000,1.10645,1.10678,1.10623,1.10668,134
1704137700000,1.10668,1.10695,1.10644,1.10691,135
1704138000000,1.10691,1.10716,1.10666,1.10714,136
1704138300000,1.10714,1.10742,1.10686,1.10734,137
1704138600000,1.10734,1.10765,1.10706,1.10751,138
1704138900000,1.10751,1.10784,1.10722,1.10765,139
1704139200000,1.10765,1.10798,1.10736,1.10775,140
1704139500000,1.10775,1.10805,1.10745,1.10779,141
1704139800000,1.10779,1.10808,1.10748,1.10778,142
1704140100000,1.10778,1.10808,1.10741,1.10771,143
1704140400000,1.10771,1.10801,1.1073,1.10759,144
1704140700000,1.10759,1.10788,1.10713,1.10742,145
1704141000000,1.10742,1.10768,1.10692,1.10719,146
1704141300000,1.10719,1.10742,1.10666,1.10693,147
1704141600000,1.10693,1.10711,1.10637,1.10663,148
1704141900000,1.10663,1.10676,1.10606,1.1063,149
1704142200000,1.1063,1.10638,1.10574,1.10596,100
1704142500000,1.10596,1.10598,1.10541,1.10562,101
1704142800000,1.10562,1.10566,1.10509,1.10528,102
1704143100000,1.10528,1.10538,1.10479,1.10495,103
1704143400000,1.10495,1.1051,1.10451,1.10465,104
1704143700000,1.10465,1.10485,1.10426,1.10437,105
1704144000000,1.10437,1.10461,1.10405,1.10413,106
1704144300000,1.10413,1.10441,1.10388,1.10394,107
1704144600000,1.10394,1.10423,1.10374,1.10378,108
1704144900000,1.10378,1.10408,1.10365,1.10366,109
1704145200000,1.10366,1.10395,1.10355,1.10358,110
1704145500000,1.10358,1.10386,1.10348,1.10353,111
1704145800000,1.10353,1.10378,1.10343,1.1035,112
1704146100000,1.1035,1.10372,1.1034,1.1035,113
1704146400000,1.1035,1.10368,1.10337,1.10351,114
1704146700000,1.10351,1.10363,1.10336,1.10352,115
1704147000000,1.10352,1.10358,1.10334,1.10352,116
1704147300000,1.10352,1.10352,1.10331,1.10351,117
1704147600000,1.10351,1.10356,1.10326,1.10347,118
1704147900000,1.10347,1.10359,1.10317,1.10341,119
1704148200000,1.10341,1.10358,1.10306,1.10331,120
1704148500000,1.10331,1.10353,1.10292,1.10318,121
1704148800000,1.10318,1.10343,1.10274,1.10301,122
1704149100000,1.10301,1.10329,1.10253,1.10281,123
1704149400000,1.10281,1.10311,1.10229,1.10258,124
1704149700000,1.10258,1.10288,1.10203,1.10233,125
1704150000000,1.10233,1.10262,1.10175,1.10205,126
1704150300000,1.10205,1.10232,1.10147,1.10177,127
1704150600000,1.10177,1.10201,1.10119,1.10148,128
1704150900000,1.10148,1.10169,1.10092,1.10121,129
1704151200000,1.10121,1.10136,1.10067,1.10095,130
1704151500000,1.10095,1.10106,1.10045,1.10073,131
1704151800000,1.10073,1.10077,1.10028,1.10054,132
1704152100000,1.10054,1.10056,1.10015,1.1004,133
1704152400000,1.1004,1.10047,1.10007,1.10031,134
1704152700000,1.10031,1.10044,1.10006,1.10027,135
1704153000000,1.10027,1.10048,1.10008,1.10029,136
1704153300000,1.10029,1.1006,1.10012,1.10037,137
1704153600000,1.10037,1.10077,1.10022,1.10051,138
1704153900000,1.10051,1.10097,1.10038,1.10069,139
1704154200000,1.10069,1.10121,1.10059,1.10092,140
1704154500000,1.10092,1.10148,1.10084,1.10118,141
1704154800000,1.10118,1.10176,1.10113,1.10147,142
1704155100000,1.10147,1.10204,1.10145,1.10178,143
1704155400000,1.10178,1.10233,1.10177,1.10209,144
1704155700000,1.10209,1.1026,1.10206,1.10241,145
1704156000000,1.10241,1.10285,1.10234,1.10271,146
1704156300000,1.10271,1.10307,1.10262,1.10299,147
1704156600000,1.10299,1.10327,1.10287,1.10324,148
1704156900000,1.10324,1.1035,1.1031,1.10346,149
1704157200000,1.10346,1.10374,1.1033,1.10365,100
1704157500000,1.10365,1.10395,1.10347,1.1038,101
1704157800000,1.1038,1.10411,1.1036,1.10392,102
1704158100000,1.10392,1.10424,1.10369,1.104,103
1704158400000,1.104,1.10432,1.10376,1.10406,104
1704158700000,1.10406,1.10438,1.1038,1.10409,105
1704159000000,1.10409,1.10441,1.10382,1.10411,106
1704159300000,1.10411,1.10443,1.10383,1.10413,107
1704159600000,1.10413,1.10443,1.10384,1.10415,108
1704159900000,1.10415,1.10444,1.10386,1.10418,109
1704160200000,1.10418,1.10446,1.10389,1.10424,110
1704160500000,1.10424,1.1045,1.10394,1.10432,111
1704160800000,1.10432,1.10456,1.10402,1.10443,112
1704161100000,1.10443,1.10465,1.10414,1.10458,113
1704161400000,1.10458,1.10479,1.1043,1.10478,114
1704161700000,1.10478,1.10506,1.1045,1.10501,115
1704162000000,1.10501,1.10538,1.10474,1.10528,116
1704162300000,1.10528,1.10574,1.10502,1.10558,117
1704162600000,1.10558,1.10612,1.10534,1.10591,118
1704162900000,1.10591,1.10651,1.10569,1.10626,119
1704163200000,1.10626,1.1069,1.10606,1.10662,120
1704163500000,1.10662,1.10728,1.10644,1.10699,121
1704163800000,1.10699,1.10765,1.10683,1.10735,122
1704164100000,1.10735,1.10798,1.10721,1.10768,123
1704164400000,1.10768,1.10827,1.10757,1.10799,124
1704164700000,1.10799,1.10852,1.10791,1.10827,125
1704165000000,1.10827,1.10871,1.10821,1.1085,126
1704165300000,1.1085,1.10884,1.10846,1.10867,127
1704165600000,1.10867,1.10891,1.10867,1.1088,128
1704165900000,1.1088,1.10892,1.10878,1.10887,129
1704166200000,1.10887,1.10888,1.10882,1.10888,130
1704166500000,1.10888,1.10894,1.10876,1.10883,131
1704166800000,1.10883,1.10896,1.10864,1.10874,132
1704167100000,1.10874,1.10892,1.10848,1.10861,133
1704167400000,1.10861,1.10883,1.10829,1.10843,134
1704167700000,1.10843,1.10869,1.10807,1.10824,135
1704168000000,1.10824,1.10852,1.10783,1.10802,136
1704168300000,1.10802,1.10832,1.10759,1.1078,137
1704168600000,1.1078,1.1081,1.10735,1.10758,138
1704168900000,1.10758,1.10787,1.10712,1.10737,139
1704169200000,1.10737,1.10764,1.10691,1.10718,140
1704169500000,1.10718,1.10741,1.10674,1.10701,141
1704169800000,1.10701,1.10721,1.10659,1.10687,142
1704170100000,1.10687,1.10702,1.10648,1.10677,143
1704170400000,1.10677,1.10686,1.1064,1.1067,144
1704170700000,1.1067,1.10673,1.10636,1.10666,145
1704171000000,1.10666,1.10668,1.10634,1.10664,146
1704171300000,1.10664,1.10674,1.10635,1.10666,147
1704171600000,1.10666,1.10682,1.10636,1.10668,148
1704171900000,1.10668,1.10691,1.1064,1.10672,149
1704172200000,1.10672,1.10699,1.10644,1.10675,100
1704172500000,1.10675,1.10704,1.10649,1.10678,101
1704172800000,1.10678,1.10708,1.10653,1.10679,102
1704173100000,1.10679,1.10709,1.10654,1.10677,103
1704173400000,1.10677,1.10707,1.10651,1.10672,104
1704173700000,1.10672,1.10701,1.10644,1.10663,105
1704174000000,1.10663,1.10689,1.10633,1.1065,106
1704174300000,1.1065,1.10673,1.10618,1.10633,107
1704174600000,1.10633,1.10651,1.10598,1.10611,108
1704174900000,1.10611,1.10624,1.10575,1.10585,109
1704175200000,1.10585,1.10592,1.10547,1.10555,110
1704175500000,1.10555,1.10557,1.10517,1.10522,111
1704175800000,1.10522,1.10526,1.10484,1.10487,112
1704176100000,1.10487,1.10497,1.10449,1.1045,113
1704176400000,1.1045,1.10465,1.10409,1.10412,114
1704176700000,1.10412,1.10433,1.1037,1.10376,115
1704177000000,1.10376,1.104,1.10332,1.1034,116
1704177300000,1.1034,1.10368,1.10297,1.10308,117
1704177600000,1.10308,1.10337,1.10265,1.10278,118
1704177900000,1.10278,1.10308,1.10238,1.10253,119
1704178200000,1.10253,1.10283,1.10215,1.10233,120
1704178500000,1.10233,1.10261,1.10198,1.10218,121
1704178800000,1.10218,1.10244,1.10187,1.10209,122
1704179100000,1.10209,1.1023,1.10181,1.10204,123
1704179400000,1.10204,1.10222,1.10179,1.10205,124
1704179700000,1.10205,1.10223,1.10179,1.10211,125
1704180000000,1.10211,1.10227,1.10183,1.10221,126
1704180300000,1.10221,1.10234,1.10192,1.10234,127
1704180600000,1.10234,1.10255,1.10204,1.10249,128
1704180900000,1.10249,1.10278,1.10219,1.10266,129
1704181200000,1.10266,1.10301,1.10236,1.10284,130
1704181500000,1.10284,1.10323,1.10254,1.10301,131
1704181800000,1.10301,1.10342,1.10271,1.10317,132
1704182100000,1.10317,1.10359,1.10288,1.10331,133
1704182400000,1.10331,1.10372,1.10303,1.10343,134
1704182700000,1.10343,1.10382,1.10316,1.10352,135
1704183000000,1.10352,1.10386,1.10326,1.10357,136
1704183300000,1.10357,1.10387,1.10333,1.1036,137
1704183600000,1.1036,1.10384,1.10336,1.10359,138
1704183900000,1.10359,1.10379,1.10335,1.10356,139
1704184200000,1.10356,1.10371,1.10332,1.10351,140
1704184500000,1.10351,1.10361,1.10328,1.10344,141
1704184800000,1.10344,1.10348,1.10323,1.10337,142
1704185100000,1.10337,1.10339,1.10319,1.1033,143
1704185400000,1.1033,1.10338,1.10316,1.10325,144
1704185700000,1.10325,1.10338,1.10315,1.10321,145
1704186000000,1.10321,1.1034,1.10317,1.10321,146
1704186300000,1.10321,1.10347,1.1032,1.10324,147
1704186600000,1.10324,1.10358,1.10323,1.10332,148
1704186900000,1.10332,1.10372,1.10327,1.10344,149
1704187200000,1.10344,1.1039,1.10337,1.10361,100
1704187500000,1.10361,1.10412,1.10351,1.10382,101
1704187800000,1.10382,1.10437,1.1037,1.10408,102
1704188100000,1.10408,1.10465,1.10394,1.10438,103
1704188400000,1.10438,1.10495,1.10421,1.10472,104
1704188700000,1.10472,1.10526,1.10452,1.10508,105
1704189000000,1.10508,1.10559,1.10486,1.10545,106
1704189300000,1.10545,1.10592,1.10522,1.10584,107
1704189600000,1.10584,1.10624,1.10559,1.10622,108
1704189900000,1.10622,1.10662,1.10596,1.10658,109
1704190200000,1.10658,1.10702,1.10631,1.10693,110
1704190500000,1.10693,1.10738,1.10664,1.10724,111
1704190800000,1.10724,1.1077,1.10694,1.10751,112
1704191100000,1.10751,1.10797,1.10721,1.10773,113
1704191400000,1.10773,1.10817,1.10743,1.1079,114
1704191700000,1.1079,1.10831,1.1076,1.10802,115
1704192000000,1.10802,1.10839,1.10773,1.10809,116
1704192300000,1.10809,1.10841,1.1078,1.10811,117
1704192600000,1.10811,1.1084,1.1078,1.10809,118
1704192900000,1.10809,1.10835,1.10775,1.10803,119
1704193200000,1.10803,1.10825,1.10767,1.10793,120
1704193500000,1.10793,1.10811,1.10756,1.10782,121
1704193800000,1.10782,1.10794,1.10745,1.10768,122
1704194100000,1.10768,1.10775,1.10733,1.10755,123
1704194400000,1.10755,1.10756,1.10722,1.10742,124
1704194700000,1.10742,1.10747,1.10712,1.1073,125
1704195000000,1.1073,1.10741,1.10705,1.1072,126
1704195300000,1.1072,1.10737,1.107,1.10713,127
1704195600000,1.10713,1.10734,1.10698,1.10709,128
1704195900000,1.10709,1.10733,1.10699,1.10707,129
1704196200000,1.10707,1.10736,1.10702,1.10709,130
1704196500000,1.10709,1.10743,1.10706,1.10713,131
1704196800000,1.10713,1.1075,1.10713,1.1072,132
1704197100000,1.1072,1.10758,1.10717,1.10728,133
1704197400000,1.10728,1.10765,1.10723,1.10738,134
1704197700000,1.10738,1.10772,1.1073,1.10747,135
1704198000000,1.10747,1.10777,1.10737,1.10756,136
1704198300000,1.10756,1.1078,1.10743,1.10764,137
1704198600000,1.10764,1.10779,1.10748,1.10768,138
1704198900000,1.10768,1.10775,1.1075,1.1077,139
1704199200000,1.1077,1.10771,1.10747,1.10767,140
1704199500000,1.10767,1.10774,1.10738,1.10759,141
1704199800000,1.10759,1.10772,1.10723,1.10747,142
1704200100000,1.10747,1.10765,1.10704,1.1073,143
1704200400000,1.1073,1.10752,1.1068,1.10707,144
1704200700000,1.10707,1.10733,1.10652,1.10679,145
1704201000000,1.10679,1.10708,1.10619,1.10647,146
1704201300000,1.10647,1.10677,1.10582,1.10612,147
1704201600000,1.10612,1.10642,1.10543,1.10573,148
1704201900000,1.10573,1.10602,1.10503,1.10533,149
1704202200000,1.10533,1.10559,1.10461,1.10491,100
1704202500000,1.10491,1.10515,1.1042,1.10449,101
1704202800000,1.10449,1.10469,1.1038,1.10409,102
1704203100000,1.10409,1.10424,1.10342,1.10371,103
1704203400000,1.10371,1.1038,1.10308,1.10335,104
1704203700000,1.10335,1.10338,1.10277,1.10303,105
1704204000000,1.10303,1.10306,1.10251,1.10276,106
1704204300000,1.10276,1.10285,1.1023,1.10253,107
1704204600000,1.10253,1.10267,1.10214,1.10235,108
1704204900000,1.10235,1.10254,1.10203,1.10222,109
1704205200000,1.10222,1.10245,1.10196,1.10213,110
1704205500000,1.10213,1.1024,1.10194,1.10209,111
1704205800000,1.10209,1.10237,1.10195,1.10207,112
1704206100000,1.10207,1.10239,1.10198,1.10209,113
1704206400000,1.10209,1.10242,1.10202,1.10213,114
1704206700000,1.10213,1.10246,1.10209,1.10217,115
1704207000000,1.10217,1.10248,1.10216,1.10222,116
1704207300000,1.10222,1.10248,1.10221,1.10226,117
1704207600000,1.10226,1.10246,1.10222,1.10228,118
1704207900000,1.10228,1.10242,1.10222,1.10229,119
1704208200000,1.10229,1.10236,1.10217,1.10226,120
1704208500000,1.10226,1.10228,1.10209,1.10221,121
1704208800000,1.10221,1.10225,1.10198,1.10212,122
1704209100000,1.10212,1.10223,1.10184,1.10201,123
1704209400000,1.10201,1.10217,1.10168,1.10187,124
1704209700000,1.10187,1.10207,1.10149,1.1017,125
1704210000000,1.1017,1.10195,1.10129,1.10152,126
1704210300000,1.10152,1.1018,1.10109,1.10133,127
1704210600000,1.10133,1.10163,1.10089,1.10114,128
1704210900000,1.10114,1.10144,1.10069,1.10097,129
1704211200000,1.10097,1.10126,1.10053,1.10081,130
1704211500000,1.10081,1.10109,1.10039,1.10068,131
1704211800000,1.10068,1.10093,1.10029,1.10059,132
1704212100000,1.10059,1.1008,1.10024,1.10054,133
1704212400000,1.10054,1.1007,1.10024,1.10054,134
1704212700000,1.10054,1.10071,1.10024,1.10059,135
1704213000000,1.10059,1.10076,1.1003,1.1007,136
1704213300000,1.1007,1.10087,1.10041,1.10087,137
1704213600000,1.10087,1.10114,1.10059,1.10108,138
1704213900000,1.10108,1.10146,1.10081,1.10134,139
1704214200000,1.10134,1.10182,1.10109,1.10165,140
1704214500000,1.10165,1.1022,1.10141,1.10198,141
1704214800000,1.10198,1.1026,1.10176,1.10234,142
1704215100000,1.10234,1.103,1.10214,1.10271,143
1704215400000,1.10271,1.10339,1.10253,1.10309,144
1704215700000,1.10309,1.10376,1.10293,1.10346,145
1704216000000,1.10346,1.1041,1.10332,1.10381,146
1704216300000,1.10381,1.1044,1.1037,1.10413,147
1704216600000,1.10413,1.10467,1.10405,1.10443,148
